phase,batch,replication,observed_statistic,permutation_p_value,null_statistics_path,seed_namespace,left_seed,right_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
confirmation,3,8,0.04446606706613134,0.825,null_statistics/batch-3-replication-8.npy,batch-null-confirmation,17352775425847129627,14042547180673544370,8501531229399013825,0.2777988000016194,,,batch-null-confirmation-20260821-001
confirmation,3,9,0.054254565660801245,0.46,null_statistics/batch-3-replication-9.npy,batch-null-confirmation,1267255042827355970,6766807655581105842,7252957236964865244,0.2738307999970857,,,batch-null-confirmation-20260821-001
confirmation,4,0,0.05928254598928556,0.235,null_statistics/batch-4-replication-0.npy,batch-null-confirmation,10766264735665875881,16188363835384445917,9586908919114143836,0.27060800000617746,,,batch-null-confirmation-20260821-001
confirmation,4,1,0.06506940758902688,0.19,null_statistics/batch-4-replication-1.npy,batch-null-confirmation,4084426392166542529,4056838930193484054,16611444735677928170,0.2797380000120029,,,batch-null-confirmation-20260821-001
confirmation,4,2,0.05247683729337426,0.53,null_statistics/batch-4-replication-2.npy,batch-null-confirmation,8190712675977752039,7315701937796819534,1310726073344532216,0.2738247999950545,,,batch-null-confirmation-20260821-001
confirmation,4,3,0.04947313431335274,0.665,null_statistics/batch-4-replication-3.npy,batch-null-confirmation,557489799557058138,6619998970638731378,12116120455381601022,0.278670300001977,,,batch-null-confirmation-20260821-001
confirmation,4,4,0.05104390628310445,0.55,null_statistics/batch-4-replication-4.npy,batch-null-confirmation,5681014415729775597,8394742190648739279,6222044677629493405,0.2793502999993507,,,batch-null-confirmation-20260821-001
confirmation,4,5,0.051891301977984,0.565,null_statistics/batch-4-replication-5.npy,batch-null-confirmation,9439994217629321577,3117851884170140165,8379262767839896883,0.27420460000575986,,,batch-null-confirmation-20260821-001
confirmation,4,6,0.058186013838990275,0.375,null_statistics/batch-4-replication-6.npy,batch-null-confirmation,15091253842515403749,13379799372160981119,17886615998742879061,0.27642280000145547,,,batch-null-confirmation-20260821-001
confirmation,4,7,0.05532664000371525,0.41,null_statistics/batch-4-replication-7.npy,batch-null-confirmation,17696461274516220911,3531833744627709790,1296683968437391007,0.27190880000125617,,,batch-null-confirmation-20260821-001
confirmation,4,8,0.0734322386427265,0.075,null_statistics/batch-4-replication-8.npy,batch-null-confirmation,18230218327091907148,208989539505060040,12171604666325188169,0.2800027999910526,,,batch-null-confirmation-20260821-001
confirmation,4,9,0.04874324593573702,0.64,null_statistics/batch-4-replication-9.npy,batch-null-confirmation,5340089619629956223,15629045295780062170,7358803247181834688,0.2714086999912979,,,batch-null-confirmation-20260821-001
confirmation,5,0,0.051029041689438656,0.575,null_statistics/batch-5-replication-0.npy,batch-null-confirmation,4817744781402709295,2537671988945760727,1172325226650554535,0.2771406000101706,,,batch-null-confirmation-20260821-001
confirmation,5,1,0.051278153183009295,0.53,null_statistics/batch-5-replication-1.npy,batch-null-confirmation,7313504126744995938,1023746119062865711,2385374540874725746,0.2774403000075836,,,batch-null-confirmation-20260821-001
confirmation,5,2,0.052854854632652666,0.55,null_statistics/batch-5-replication-2.npy,batch-null-confirmation,6521419426374046668,18206848012221866635,8237173330765441499,0.2752452999993693,,,batch-null-confirmation-20260821-001
confirmation,5,3,0.04927492747199825,0.65,null_statistics/batch-5-replication-3.npy,batch-null-confirmation,17105922834481924187,9512244471331055931,1131389561415017305,0.2791858999989927,,,batch-null-confirmation-20260821-001
confirmation,5,4,0.053160158372605494,0.485,null_statistics/batch-5-replication-4.npy,batch-null-confirmation,1565880825217801991,14376821921982117699,6311866287415203439,0.27118320000590757,,,batch-null-confirmation-20260821-001
confirmation,5,5,0.05923992364489473,0.29,null_statistics/batch-5-replication-5.npy,batch-null-confirmation,17948953191946129443,9677105359120876653,14173792817012193632,0.27619000000413507,,,batch-null-confirmation-20260821-001
confirmation,5,6,0.04721792190709976,0.66,null_statistics/batch-5-replication-6.npy,batch-null-confirmation,2646297346569023606,6377081012172047109,47428338810596559,0.27199900000414345,,,batch-null-confirmation-20260821-001
confirmation,5,7,0.05285539219229688,0.53,null_statistics/batch-5-replication-7.npy,batch-null-confirmation,13046677308250992348,17492824135353434056,10779733641001658588,0.2896046999958344,,,batch-null-confirmation-20260821-001
confirmation,5,8,0.07118938966031872,0.075,null_statistics/batch-5-replication-8.npy,batch-null-confirmation,11863448927273832907,15296977484280271844,2612899191395541912,0.2820058999932371,,,batch-null-confirmation-20260821-001
confirmation,5,9,0.056514456170600684,0.35,null_statistics/batch-5-replication-9.npy,batch-null-confirmation,4369590497433253322,3875919155637963550,1044662835682791623,0.27909189999627415,,,batch-null-confirmation-20260821-001
confirmation,6,0,0.053963454045805506,0.42,null_statistics/batch-6-replication-0.npy,batch-null-confirmation,16115051239210703311,8207202737618422517,14364934175149332384,0.2940439999947557,,,batch-null-confirmation-20260821-001
confirmation,6,1,0.0736511405258188,0.085,null_statistics/batch-6-replication-1.npy,batch-null-confirmation,592563941513395254,1587064512837919594,14929693125902423650,0.2821525000035763,,,batch-null-confirmation-20260821-001
confirmation,6,2,0.03869697611266214,0.995,null_statistics/batch-6-replication-2.npy,batch-null-confirmation,13608265973240796886,7674076465958043424,10784273978470117631,0.29805080000369344,,,batch-null-confirmation-20260821-001
confirmation,6,3,0.05442631291513536,0.405,null_statistics/batch-6-replication-3.npy,batch-null-confirmation,10371136667001259815,4272109945027745702,1179675758448678740,0.2907688999985112,,,batch-null-confirmation-20260821-001
confirmation,6,4,0.10020056270928274,0.015,null_statistics/batch-6-replication-4.npy,batch-null-confirmation,2367781495352746955,12296504650083234301,18315893553688061324,0.2725612999929581,,,batch-null-confirmation-20260821-001
confirmation,6,5,0.051478751529699704,0.575,null_statistics/batch-6-replication-5.npy,batch-null-confirmation,8076161687797125422,16760564451241526736,13919360882436567280,0.28090050000173505,,,batch-null-confirmation-20260821-001
confirmation,6,6,0.04664905983333244,0.725,null_statistics/batch-6-replication-6.npy,batch-null-confirmation,6178110135172520222,16960861753271988045,4307462299933677328,0.27819289999024477,,,batch-null-confirmation-20260821-001
confirmation,6,7,0.04894859076042223,0.66,null_statistics/batch-6-replication-7.npy,batch-null-confirmation,1861496219419223159,4145342900228426311,10931424423441091775,0.27564590000838507,,,batch-null-confirmation-20260821-001
confirmation,6,8,0.048411294673299105,0.68,null_statistics/batch-6-replication-8.npy,batch-null-confirmation,10723818732872804492,11482839302131965195,3901548519535327192,0.27369679999537766,,,batch-null-confirmation-20260821-001
confirmation,6,9,0.09217235378105358,0.005,null_statistics/batch-6-replication-9.npy,batch-null-confirmation,16159655147499098158,13883172068273018803,4098698416149814313,0.28672499999811407,,,batch-null-confirmation-20260821-001
confirmation,7,0,0.0641559294795888,0.17,null_statistics/batch-7-replication-0.npy,batch-null-confirmation,2698563724343834901,1851987865356171750,14176286185941592224,0.276358800008893,,,batch-null-confirmation-20260821-001
confirmation,7,1,0.05633268306257187,0.4,null_statistics/batch-7-replication-1.npy,batch-null-confirmation,9254270965460655208,205269951347033680,2113355816499928898,0.2770979999913834,,,batch-null-confirmation-20260821-001
confirmation,7,2,0.050573697971885934,0.545,null_statistics/batch-7-replication-2.npy,batch-null-confirmation,7182943928321244111,421142000470505897,17210797110808748673,0.27556680000270717,,,batch-null-confirmation-20260821-001
confirmation,7,3,0.04138436727441907,0.95,null_statistics/batch-7-replication-3.npy,batch-null-confirmation,4330382283800326813,6514133787686541052,1448347300587521903,0.27616419999685604,,,batch-null-confirmation-20260821-001
confirmation,7,4,0.04686446727558252,0.675,null_statistics/batch-7-replication-4.npy,batch-null-confirmation,1324732700554282199,9970582026771151776,7931619728021981661,0.28456410000217147,,,batch-null-confirmation-20260821-001
